customer_key,customer_id,is_active,full_name,address,city,email,country_key,valid_from_ts,valid_to_ts,is_current
1,1,true,Jason Orr,Ap #387-8229 Nullam Road,Kilsyth,lacus.Nulla@Classaptenttaciti.ca,89,2025-12-16T17:02:42.661Z,9999-12-31T00:00:00.000Z,true
2,2,true,Devin Herman,"P.O. Box 905, 9608 Etiam St.",Portici,Integer.vulputate.risus@est.co.uk,50,2025-12-16T17:02:42.661Z,9999-12-31T00:00:00.000Z,true
3,3,true,Kennan Head,Ap #694-3226 Odio St.,Bothey,ligula@porttitortellusnon.org,104,2025-12-16T17:02:42.661Z,9999-12-31T00:00:00.000Z,true
4,4,false,Peter Fry,Ap #378-2594 Arcu. Road,Oudegem,eu@Phasellusvitaemauris.com,116,2025-12-16T17:02:42.661Z,9999-12-31T00:00:00.000Z,true
5,5,true,Guy Ball,418-8277 Sociis Ave,Charleville-Mézières,vestibulum.Mauris.magna@ipsumdolorsit.com,201,2025-12-16T17:02:42.661Z,9999-12-31T00:00:00.000Z,true
6,6,true,Vincent Parsons,381-4840 Tellus Rd.,Henderson,non.arcu.Vivamus@Proin.com,106,2025-12-16T17:02:42.661Z,9999-12-31T00:00:00.000Z,true
7,7,true,Cain Schroeder,152-5224 Penatibus Street,Göppingen,molestie.dapibus.ligula@hendreritDonecporttitor.edu,187,2025-12-16T17:02:42.661Z,9999-12-31T00:00:00.000Z,true
8,8,true,Cruz Gill,"P.O. Box 390, 9207 Elit, St.",Morinville,adipiscing@tempor.net,194,2025-12-16T17:02:42.661Z,9999-12-31T00:00:00.000Z,true
9,9,true,Travis Dickerson,"156-1262 Orci, Avenue",Korbach,non@ullamcorpereu.edu,164,2025-12-16T17:02:42.661Z,9999-12-31T00:00:00.000Z,true
10,10,true,Orlando Stone,Ap #464-7569 Maecenas Road,Tourinnes-Saint-Lambert,tellus.Phasellus.elit@Sedetlibero.edu,149,2025-12-16T17:02:42.661Z,9999-12-31T00:00:00.000Z,true
11,11,false,Edan Wells,409-3473 Class Road,Lille,scelerisque.dui@necligulaconsectetuer.edu,157,2025-12-16T17:02:42.661Z,9999-12-31T00:00:00.000Z,true
12,12,true,Kennan Arnold,Ap #489-3585 Neque. Avenue,Santa Cesarea Terme,rutrum@Nuncsedorci.ca,114,2025-12-16T17:02:42.661Z,9999-12-31T00:00:00.000Z,true
13,13,true,Palmer Ashley,957-9279 Nibh. Rd.,Antibes,nascetur.ridiculus.mus@lacusvarius.edu,41,2025-12-16T17:02:42.661Z,9999-12-31T00:00:00.000Z,true
14,14,true,Jasper Miller,5503 Sociis St.,Brighton,scelerisque@nonante.org,85,2025-12-16T17:02:42.661Z,9999-12-31T00:00:00.000Z,true
